Datum;Klantnaam;Klachtadres;Klachtadres PC4;Klachtadres-Plaats;Registratieweek;Product / Dienst;Route
dinsdag 23 maart 2021;SUPERMARKT VAN SOEST B.V.;Rademakerstraat 6;3769 BD;SOESTERBERG;12.2021;Hulpmiddelen - Logistiek;
woensdag 24 maart 2021;Office Centre;Galvanistraat 86;6716 AE;EDE GLD;12.2021;Hulpmiddelen - Logistiek;
donderdag 25 maart 2021;Huissteden Naaimachines;Langstraat 96;3771 BJ;BARNEVELD;12.2021;Haalservice;ED-5009
donderdag 25 maart 2021;Rhima Nederland B.V.;ENERGIEWEG 6;3762 ET;SOEST;12.2021;Haalservice;AMF-5105
donderdag 25 maart 2021;Detentiecentrum Zeist;RICHELLEWEG 13;3769 AZ;SOESTERBERG;12.2021;Haalservice;AMF-5108
donderdag 25 maart 2021;Vereniging CBB;Paul Krugerweg 39;3851 ZH;ERMELO;12.2021;Hulpmiddelen - Logistiek;
donderdag 25 maart 2021;Vereniging CBB;Paul Krugerweg 39;3851 ZH;ERMELO;12.2021;Hulpmiddelen - Logistiek;
donderdag 25 maart 2021;Niet toegewezen;Couperuslaan 59;3842 AB;HARDERWIJK;12.2021;Oranje brievenbus;AMF-5005
donderdag 25 maart 2021;Niet toegewezen;zuiderzeestraatweg 93;3849 AD;Hierden;12.2021;Oranje brievenbus;AMF-5004
vrijdag 26 maart 2021;Jumbo (6383) Veenendaal;Paddestoelenlaan 40;3903 GG;VEENENDAAL;12.2021;Hulpmiddelen - Logistiek;ED-1201
vrijdag 26 maart 2021;Cigo Ede;Vendelstraat 4;6711 AL;EDE GLD;12.2021;Haalservice Retailer;ED-5105
zaterdag 27 maart 2021;Supertank Zeewolde;Landbouwweg 18;3899 BE;ZEEWOLDE;12.2021;Haalservice Retailer;AMF-5512
zaterdag 27 maart 2021;Telecom Harderwijk GSM;Deventerweg 16;3843 GD;HARDERWIJK;12.2021;Haalservice Retailer;AMF-5007
maandag 29 maart 2021;Cambridge Weight Plan Benelux B.V.;Siliciumweg 6;3812 SX;AMERSFOORT;13.2021;Haalservice;AMF-5501
maandag 29 maart 2021;SUPERMARKT VAN SOEST B.V.;Rademakerstraat 6;3769 BD;SOESTERBERG;13.2021;Hulpmiddelen - Logistiek;
maandag 29 maart 2021;Niet toegewezen;Pieter Stastokerf 6;3813 PR;AMERSFOORT;13.2021;Oranje brievenbus;
maandag 29 maart 2021;Gamma Zeewolde;Bolwerk 7;3895 BX;Zeewolde;13.2021;Haalservice Retailer;
maandag 29 maart 2021;Gamma Zeewolde;Bolwerk 7;3895 BX;Zeewolde;13.2021;Haalservice Retailer;
maandag 29 maart 2021;Niet toegewezen;Teylingen 4;3894 AG;ZEEWOLDE;13.2021;Oranje brievenbus;AMF-5001
dinsdag 30 maart 2021;Drogisterij Jonker Ede B.V.;Stadspoort 30;6716 RH;EDE GLD;13.2021;Haalservice Retailer;ED-5155
dinsdag 30 maart 2021;DM Productions B.V.;Nijverheidsweg-Noord 128;3812 PN;AMERSFOORT;13.2021;Hulpmiddelen - Logistiek;
dinsdag 30 maart 2021;Jumbo (3541) Baarn;Laanstraat 87;3743 BC;BAARN;13.2021;Hulpmiddelen - Logistiek;
dinsdag 30 maart 2021;(Nationaal) Restauratiefonds;Utrechtseweg 12;3811 NB;AMERSFOORT;13.2021;Haalservice;
woensdag 31 maart 2021;Delphy B.V.;AGRO BUSINESS PARK 5;6708 PV;WAGENINGEN;13.2021;Haalservice;ED-5201
woensdag 31 maart 2021;Coop;Lavendelplein 2;3773 CM;BARNEVELD;13.2021;Hulpmiddelen - Logistiek;ED-5002
woensdag 31 maart 2021;Jumbo (3540) AMERSFOORT;Emiclaerhof 248;3823 ET;AMERSFOORT;13.2021;Hulpmiddelen - Logistiek;AMF-5155
woensdag 31 maart 2021;Jumbo (3540) AMERSFOORT;Emiclaerhof 248;3823 ET;AMERSFOORT;13.2021;Hulpmiddelen - Logistiek;AMF-5155
woensdag 31 maart 2021;Bruna Baarn;Laanstraat 32;3743 BG;BAARN;13.2021;Hulpmiddelen - Logistiek;AMF-5105
woensdag 31 maart 2021;Coop;Hellestraat 25;3811 LK;AMERSFOORT;13.2021;Hulpmiddelen - Logistiek;AMF-5154
woensdag 31 maart 2021;Telecom Harderwijk GSM;Deventerweg 16;3843 GD;HARDERWIJK;13.2021;Haalservice Retailer;AMF-5007
vrijdag 2 april 2021;DM Productions B.V.;Nijverheidsweg-Noord 128;3812 PN;AMERSFOORT;13.2021;Hulpmiddelen - Logistiek;
zaterdag 3 april 2021;SUPERMARKT VAN SOEST B.V.;Rademakerstraat 6;3769 BD;SOESTERBERG;13.2021;Aanvoer postbuspost;AMF-1203
